t,n_err,e_err,n_std,e_std
21.299999999999997,1.6772264253077644,-2.696492331596538,2.24804029009991,2.2339918109518857
21.400000000000002,1.6769708251335942,-2.696052592661003,2.2476140480669087,2.234008802779407
21.5,1.676722011630353,-2.6956023319733795,2.247186332261225,2.2340271585129643
21.599999999999998,1.676483446237846,-2.6951501397730846,2.2467571470985743,2.234046892600481
21.700000000000003,1.6762460795608967,-2.6946860631962273,2.246326496883334,2.2340680195616622
21.8,1.6759990492041776,-2.694222337698032,2.245894385881293,2.234090553988413
21.9,1.675752794103962,-2.693740498239563,2.2454608184511766,2.2341145105332014
22.0,1.675509476950798,-2.69325897193314,2.245025799063801,2.2341399039270815
22.1,1.675261542868517,-2.692772288978834,2.2445893322233257,2.2341667489799626
22.2,1.6750086372013129,-2.692270327604847,2.244151422417076,2.23419506057962
22.299999999999997,1.674747365184519,-2.691760625232652,2.2437120743394567,2.2342248536974654
22.400000000000002,1.6744880125433308,-2.6912530567350403,2.2432712928286755,2.2342561433824275
22.5,1.674227352619944,-2.6907399858021206,2.2428290825467325,2.234288944774478
22.599999999999998,1.673967084215242,-2.6902248057151668,2.242385448076657,2.2343232730978553
22.700000000000003,1.6737160928738029,-2.6897101489073263,2.2419403941244025,2.2343591436499044
22.8,1.673473657935245,-2.6891804698581243,2.241493925386976,2.234396571804299
22.9,1.6732310662176413,-2.6886460733224866,2.2410460465496995,2.2344355730105105
23.0,1.6729940390272182,-2.6881058775692637,2.2405967624824656,2.2344761627740546
23.1,1.672745954359124,-2.6875604385106233,2.240146078134684,2.234518356671648
23.2,1.6725080638940975,-2.6870111258554856,2.2396939984063624,2.2345621703347005
23.299999999999997,1.672276591967254,-2.6864402806543533,2.2392405282049883,2.2346076194752253
23.400000000000002,1.6720582422813512,-2.6858583095981703,2.2387856725171025,2.2346547198835363
23.5,1.671832167462941,-2.685274781540837,2.2383294363770077,2.234703487440072
23.599999999999998,1.6716028666746168,-2.6846849865838536,2.237871824827459,2.234753938088812
23.700000000000003,1.6713877059892597,-2.6840889027545582,2.2374128430034763,2.23480608784017
23.8,1.671185925734383,-2.683498619268657,2.236952495969429,2.234859952794527
